REF_DATE,Mortgage Rate
2005-01-01,5.6
2005-02-01,5.59
2005-03-01,5.6
2005-04-01,5.67
2005-05-01,5.55
2005-06-01,5.31
2005-07-01,5.26
2005-08-01,5.32
2005-09-01,5.3
2005-10-01,5.39
2005-11-01,5.56
2005-12-01,5.6
2006-01-01,5.65
2006-02-01,5.75
2006-03-01,5.78
2006-04-01,5.88
2006-05-01,6.05
2006-06-01,6.12
2006-07-01,6.26
2006-08-01,6.24
2006-09-01,6.13
2006-10-01,6.01
2006-11-01,5.99
2006-12-01,5.89
2007-01-01,5.91
2007-02-01,6.0
2007-03-01,5.91
2007-04-01,5.92
2007-05-01,6.01
2007-06-01,6.51
2007-07-01,6.6
2007-08-01,6.62
2007-09-01,6.61
2007-10-01,6.69
2007-11-01,6.73
2007-12-01,6.75
2008-01-01,6.81
2008-02-01,6.72
2008-03-01,6.6
2008-04-01,6.4
2008-05-01,6.21
2008-06-01,6.2
2008-07-01,6.37
2008-08-01,6.25
2008-09-01,6.16
2008-10-01,6.46
2008-11-01,6.51
2008-12-01,6.17
2009-01-01,5.78
2009-02-01,5.28
2009-03-01,5.14
2009-04-01,4.79
2009-05-01,4.62
2009-06-01,4.9
2009-07-01,5.14
2009-08-01,5.13
2009-09-01,4.97
2009-10-01,5.0
2009-11-01,5.06
2009-12-01,4.83
2010-01-01,4.8
2010-02-01,4.73
2010-03-01,4.71
2010-04-01,5.15
2010-05-01,5.3
2010-06-01,5.18
2010-07-01,5.02
2010-08-01,4.82
2010-09-01,4.6
2010-10-01,4.52
2010-11-01,4.45
2010-12-01,4.5
2011-01-01,4.55
2011-02-01,4.68
2011-03-01,4.7
2011-04-01,4.87
2011-05-01,4.83
2011-06-01,4.6
2011-07-01,4.57
2011-08-01,4.52
2011-09-01,4.42
2011-10-01,4.35
2011-11-01,4.38
2011-12-01,4.36
2012-01-01,4.31
2012-02-01,4.23
2012-03-01,4.21
2012-04-01,4.36
2012-05-01,4.35
2012-06-01,4.25
2012-07-01,4.23
2012-08-01,4.23
2012-09-01,4.2
2012-10-01,4.17
2012-11-01,4.15
2012-12-01,4.15
2013-01-01,4.14
2013-02-01,4.11
2013-03-01,4.02
2013-04-01,4.02
2013-05-01,4.02
2013-06-01,4.0
2013-07-01,4.08
2013-08-01,4.14
2013-09-01,4.33
2013-10-01,4.4
2013-11-01,4.39
2013-12-01,4.39
2014-01-01,4.38
2014-02-01,4.32
2014-03-01,4.16
2014-04-01,4.02
2014-05-01,4.02
2014-06-01,4.0
2014-07-01,4.01
2014-08-01,4.01
2014-09-01,4.02
2014-10-01,4.0
2014-11-01,4.0
2014-12-01,3.98
2015-01-01,3.96
2015-02-01,3.91
2015-03-01,3.84
2015-04-01,3.76
2015-05-01,3.74
2015-06-01,3.72
2015-07-01,3.71
2015-08-01,3.71
2015-09-01,3.71
2015-10-01,3.72
2015-11-01,3.72
2015-12-01,3.75
2016-01-01,3.76
2016-02-01,3.75
2016-03-01,3.73
2016-04-01,3.7
2016-05-01,3.67
2016-06-01,3.66
2016-07-01,3.67
2016-08-01,3.68
2016-09-01,3.67
2016-10-01,3.68
2016-11-01,3.7
2016-12-01,3.74
2017-01-01,3.73
2017-02-01,3.75
2017-03-01,3.66
2017-04-01,3.62
2017-05-01,3.59
2017-06-01,3.6
2017-07-01,3.72
2017-08-01,3.82
2017-09-01,3.89
2017-10-01,3.98
2017-11-01,4.04
2017-12-01,4.07
2018-01-01,4.14
2018-02-01,4.26
2018-03-01,4.27
2018-04-01,4.27
2018-05-01,4.35
2018-06-01,4.32
2018-07-01,4.42
2018-08-01,4.43
2018-09-01,4.43
2018-10-01,4.48
2018-11-01,4.38
2018-12-01,4.59
2019-01-01,4.59
2019-02-01,4.52
2019-03-01,4.44
2019-04-01,4.33
2019-05-01,4.3
2019-06-01,4.23
2019-07-01,4.14
2019-08-01,4.08
2019-09-01,4.07
2019-10-01,4.09
2019-11-01,4.09
2019-12-01,4.08
2020-01-01,4.08
2020-02-01,4.08
2020-03-01,3.9
2020-04-01,3.95
2020-05-01,3.86
2020-06-01,3.77
2020-07-01,3.64
2020-08-01,3.57
2020-09-01,3.51
2020-10-01,3.45
2020-11-01,3.42
2020-12-01,3.34
2021-01-01,3.3
2021-02-01,3.25
2021-03-01,3.26
2021-04-01,3.25
2021-05-01,3.25
2021-06-01,3.26
2021-07-01,3.2
2021-08-01,3.2
2021-09-01,3.22
2021-10-01,3.29
2021-11-01,3.4
2021-12-01,3.45
2022-01-01,3.44
2022-02-01,3.58
2022-03-01,3.77
2022-04-01,4.19
2022-05-01,4.63
2022-06-01,5.05
2022-07-01,5.51
2022-08-01,5.58
2022-09-01,5.64
2022-10-01,5.75
2022-11-01,5.88
2022-12-01,5.89
2023-01-01,5.86
2023-02-01,5.81
2023-03-01,5.81
2023-04-01,5.75
2023-05-01,5.74
2023-06-01,5.85
2023-07-01,5.99
2023-08-01,6.17
2023-09-01,6.27
2023-10-01,6.42
2023-11-01,6.47
2023-12-01,6.39
2024-01-01,6.31
2024-02-01,6.15
2024-03-01,6.13
2024-04-01,6.08
2024-05-01,6.05
2024-06-01,5.98
2024-07-01,5.91
2024-08-01,5.73
2024-09-01,5.55
2024-10-01,5.44
2024-11-01,5.38
2024-12-01,5.35
